0.0769	0.2019
0.0863	0.4847
0.2379	0.6300
0.3814	0.5878
0.9457	1.0804
1.2173	1.4231
1.2923	1.6764
1.3255	1.7172
1.8572	1.9188
2.0530	2.1063
2.1403	2.3403
2.4415	2.5619
2.6485	2.8485
3.0686	3.1814
3.0835	3.3570
3.1001	3.4390
3.7670	3.8485
3.8740	4.3251
3.8766	4.3276
4.0581	4.2189
4.3685	4.4214
4.4703	4.6855
4.5470	4.8879
4.7446	4.9397
4.9119	5.0054
5.2618	5.3799
5.3960	5.4494
5.9436	6.0342
6.0139	6.1456
6.1717	6.3066
6.3426	6.5363
6.3570	6.5644
6.4056	6.5868
6.6635	6.7899
6.8179	6.9624
6.8294	6.9344
7.0186	7.5546
7.0697	7.5574
7.1410	7.6163
7.2589	7.5572
7.8461	8.1374
7.9651	8.6175
8.1081	8.3845
8.1338	8.5576
8.1427	8.7767
8.2562	8.8164
8.7873	9.1632
8.9181	9.2319
8.9304	9.3782
9.2617	9.5012
9.6378	9.9458
9.6394	10.2059
9.7042	10.4060
9.7684	10.4274
9.8415	10.3595
10.8987	11.1305
10.9868	11.0980
11.0886	11.2340
11.1560	11.3950
11.4925	11.7466
11.5311	11.7246
11.6030	12.2721
11.6948	12.4931
11.7005	12.4786
11.7378	12.2741
11.7638	12.3391
12.3149	12.5711
12.7064	12.9064
12.9905	13.4015
13.0111	13.3599
13.0598	13.5323
13.2500	13.4851
13.3002	13.5278
13.3528	13.6767
13.7625	13.9625
13.9661	14.1408
14.1103	14.3828
14.1484	14.3490
14.1816	14.4464
14.4501	15.1514
14.4833	15.2296
14.5498	15.1872
14.5946	15.2778
14.6202	15.0309
15.3116	15.5505
15.3510	15.8454
15.5737	16.1181
15.5870	16.0529
15.6570	16.0093
15.8497	16.3222
16.0568	16.5837
16.1886	16.3675
16.2148	16.7518
16.4970	17.2008
16.6338	17.7181
16.8227	18.6252
16.8806	18.8368
16.8960	18.1936
16.9657	18.4951
17.0518	18.2837
17.1202	17.6322
17.2719	19.2360
17.2852	18.9922
17.4169	18.3349
17.5131	19.0473
17.5983	19.0656
17.6494	18.8853
17.7719	18.9620
18.0095	19.2909
18.0869	19.3764
18.3522	19.3968
18.6321	19.3826
19.5973	19.6506
19.7600	19.8417
20.3069	20.3804
20.4057	20.5628
20.7090	20.9989
20.8190	21.1090
21.5392	22.2544
21.5484	22.3005
21.5649	21.8489
21.7451	22.4948
21.8985	22.5194
22.0958	22.3817
22.2225	22.4330
22.5301	22.5817
23.3243	23.5330
23.5156	23.6093
23.6384	23.7021
24.2588	24.5125
24.3415	24.5292
24.6341	24.6925
24.7269	24.7978
24.8702	25.0248
25.0018	25.1471
25.0213	25.1739
25.3934	25.5872
25.8904	26.0943
25.9371	26.1136
26.2570	26.5558
26.2628	26.3973
26.3105	26.5770
26.5068	26.6680
26.8273	26.9056
26.8993	26.9660
27.0329	27.2958
27.1700	27.3712
27.4227	27.5011
27.6326	27.8027
27.7882	27.9954
28.1144	28.3291
28.1144	28.3271
28.1388	28.4725
28.1711	29.3489
28.1801	28.5412
28.2741	29.4616
28.2953	29.4316
28.4979	29.4534
28.5889	29.1339
28.6793	30.0963
28.7409	30.1987
28.8968	29.8742
29.3783	29.9208
29.4109	30.8953
29.4622	30.3253
29.7262	31.2249
29.7397	30.6480
29.8888	31.6133
29.9597	30.5249
30.0232	30.9860
30.0896	32.1837
30.1392	32.2327
30.1477	31.1392
30.2232	32.2962
30.4283	31.4321
30.7087	32.6274
30.7477	32.6469
30.8820	32.1213
31.1140	32.0206
31.1423	31.6970
31.3068	32.8576
31.4718	32.0494
31.5396	32.9349
31.9787	33.0188
32.0153	32.9309
32.0527	32.6233
32.8798	33.3624
33.0393	33.5922
33.1528	33.6886
33.3240	33.6921
33.7279	33.8368
33.8862	34.1387
33.8911	34.0989
33.9428	34.2492
34.4328	34.5533
34.6553	34.7314
35.0011	35.0641
35.4200	35.7946
35.5330	35.9113
35.5375	36.0954
35.5649	35.9784
35.7581	36.5560
35.8522	36.6211
36.0119	36.2363
36.0153	36.3145
36.3121	36.6535
36.3168	36.7688
36.7501	37.7269
36.7518	37.1350
36.7587	37.0480
36.9086	37.9582
36.9496	38.0970
37.0968	38.2393
37.2089	37.8855
37.2703	38.4148
37.3929	38.4350
37.6734	38.3855
38.1654	38.9469
38.2755	38.5411
38.5018	39.3692
38.5906	38.9043
38.6005	38.9738
38.6675	39.7172
