Drop              	4.87    	1         	300       	0         
RTX/Drop          	5.87    	1         	300       	0         
RTX/Drop          	6.88    	1         	300       	0         
RTX/Drop          	7.88    	1         	300       	0         
RTX               	8.88    	1         	300       	0         
rcv               	8.88    	0         	300       	301       
Drop              	8.88    	301       	300       	0         
RTX/Drop          	9.88    	301       	300       	0         
RTX               	10.88   	301       	300       	0         
rcv               	10.88   	0         	300       	601       
snd               	10.88   	601       	300       	0         
rcv               	10.89   	0         	300       	901       
snd               	10.89   	901       	300       	0         
rcv               	10.89   	0         	300       	1201      
snd               	10.89   	1201      	300       	0         
rcv               	10.89   	0         	300       	1501      
snd               	10.89   	1501      	300       	0         
rcv               	10.89   	0         	300       	1801      
Drop              	10.89   	1801      	300       	0         
RTX/Drop          	11.89   	1801      	300       	0         
RTX/Drop          	12.89   	1801      	300       	0         
RTX/Drop          	13.89   	1801      	300       	0         
RTX/Drop          	14.89   	1801      	300       	0         
RTX               	15.89   	1801      	300       	0         
rcv               	15.89   	0         	300       	2101      
Drop              	15.89   	2101      	300       	0         
RTX/Drop          	16.90   	2101      	300       	0         
RTX/Drop          	17.90   	2101      	300       	0         
RTX               	18.90   	2101      	300       	0         
rcv               	18.90   	0         	300       	2401      
Drop              	18.90   	2401      	300       	0         
RTX/Drop          	19.90   	2401      	300       	0         
RTX/Drop          	20.90   	2401      	300       	0         
RTX/Drop          	21.91   	2401      	300       	0         
RTX/Drop          	22.91   	2401      	300       	0         
RTX/Drop          	23.92   	2401      	300       	0         
RTX               	24.92   	2401      	300       	0         
rcv               	24.92   	0         	300       	2701      
Drop              	24.92   	2701      	300       	0         
RTX/Drop          	25.93   	2701      	300       	0         
RTX               	26.93   	2701      	300       	0         
rcv               	26.93   	0         	300       	3001      
Drop              	26.93   	3001      	28        	0         
RTX               	27.94   	3001      	28        	0         
rcv               	27.94   	0         	28        	3029      
